team_name,total_matches,wins,draws,losses,win_percentage,goals_for,goals_against,goal_difference,goals_per_match
Brazil,104,70,17,17,67.31,221,102,119,2.13
Italy,83,45,21,17,54.22,128,77,51,1.54
Argentina,77,42,14,21,54.55,131,84,47,1.7
Germany FR,62,36,14,12,58.06,131,77,54,2.11
Germany,44,30,6,8,68.18,93,44,49,2.11
Spain,59,29,12,18,49.15,92,66,26,1.56
France,59,28,12,19,47.46,106,71,35,1.8
Netherlands,50,27,12,11,54.0,86,48,38,1.72
England,62,26,20,16,41.94,79,56,23,1.27
Uruguay,51,20,12,19,39.22,80,71,9,1.57
Yugoslavia,37,16,8,13,43.24,60,46,14,1.62
Sweden,46,16,13,17,34.78,74,69,5,1.61
Hungary,32,15,3,14,46.88,87,57,30,2.72
Soviet Union,31,15,6,10,48.39,53,34,19,1.71
Poland,31,15,5,11,48.39,44,40,4,1.42
Belgium,41,14,9,18,34.15,52,66,-14,1.27
Mexico,53,14,14,25,26.42,57,92,-35,1.08
Portugal,26,13,4,9,50.0,43,29,14,1.65
Austria,29,12,4,13,41.38,43,47,-4,1.48
Czechoslovakia,30,11,5,14,36.67,44,45,-1,1.47
