temperature_category,avg_temperature_celsius,total_matches,avg_total_goals,avg_home_goals,avg_away_goals,max_total_goals
Cold,4.8556466,24,3.0416666666666665,2.3333333333333335,0.7083333333333334,8
Cold,6.9350634,8,2.0,1.625,0.375,4
Cold,7.5951324,38,2.6842105263157894,2.0789473684210527,0.6052631578947368,6
Moderate,10.825736,56,2.1964285714285716,1.2321428571428572,0.9642857142857143,7
Moderate,11.242212,24,5.458333333333333,4.291666666666667,1.1666666666666667,12
Moderate,11.423695,2,4.5,3.0,1.5,5
Moderate,11.520573,35,3.6,2.5142857142857142,1.0857142857142856,10
Moderate,12.042891,8,2.75,0.875,1.875,5
Moderate,14.230545,32,2.65625,1.40625,1.25,9
Moderate,15.538322,6,2.0,1.0,1.0,3
Moderate,16.977169,58,2.3620689655172415,1.4137931034482758,0.9482758620689655,6
Moderate,18.23906,56,2.6607142857142856,1.5892857142857142,1.0714285714285714,7
Moderate,18.785435,46,2.1956521739130435,1.2608695652173914,0.9347826086956522,6
Moderate,19.490282,8,2.75,1.125,1.625,5
Warm,20.056566,40,2.675,1.9,0.775,11
Warm,21.56988,6,2.3333333333333335,1.5,0.8333333333333334,5
Warm,22.223059,6,1.6666666666666667,0.6666666666666666,1.0,4
Warm,22.447569,12,3.25,1.75,1.5,6
Warm,22.555958,1,0.0,0.0,0.0,0
Warm,22.974623,12,4.5,3.5833333333333335,0.9166666666666666,8
Warm,23.00876,10,3.4,2.6,0.8,5
Warm,23.105713,1,2.0,1.0,1.0,2
Warm,23.493038,51,2.549019607843137,1.4313725490196079,1.1176470588235294,7
Warm,23.789963,10,2.1,0.8,1.3,8
Warm,23.824543,31,3.064516129032258,2.3225806451612905,0.7419354838709677,7
Warm,24.026459,54,2.7777777777777777,1.3518518518518519,1.4259259259259258,7
